Időbélyeg,"1. Mennyire elfogadható számodra, ha egy családi beszélgetésben így beszélnek, azaz ezt a nyelvváltozatot hallod?","2. Az első hangfelvételen hallható nyelvváltozat olyan-e, mint ahogyan a tágabb környezetedben beszélnek?","3. Mennyire elfogadható számodra, ha egy családi beszélgetésben így beszélnek, azaz ezt a nyelvváltozatot hallod?","4. A második hangfelvételen hallható nyelvváltozat olyan-e, mint ahogyan a tágabb környezetedben beszélnek?","5. Mennyire elfogadható számodra, ha egy családi beszélgetésben így beszélnek, azaz ezt a nyelvváltozatot hallod?","6. A harmadik hangfelvételen hallható nyelvváltozat olyan-e, mint ahogyan a tágabb környezetedben beszélnek?","7. Mennyire elfogadható számodra, ha a televízióban hallod ezt nyelvváltozatot?","8. Mennyire elfogadható számodra, ha a televízióban hallod ezt nyelvváltozatot?","9. Mennyire elfogadható számodra, ha a televízióban hallod ezt nyelvváltozatot?",10. Hogyan értékelnéd saját régiód nyelvváltozatát – nyelvjárását?,11. Mely helyzetekben használod a saját nyelvváltozatodat – nyelvjárásodat? (Több választ is megjelölhetsz!),12. Véleményed szerint te ismered a saját régiód nyelvjárását?,13. Szerinted előny vagy hátrány a nyelvjárás ismerete?,14. Mely helyzetekben használsz köznyelvi változatot? (Több választ is megjelölhetsz!),15. Véleményed szerint beszéled a magyarországi magyar köznyelvet?,16. Szerinted van különbség a Magyarországon és a Szlovákiában használt magyar nyelv között?,"17. Tett-e már valaki megjegyzést arra, ahogyan beszéltél?","18. Amennyiben tett már valaki megjegyzést a beszédedre, milyen helyzetben történt? Mit kifogásoltak? ",19. Mi a nemed?,20. Mi a nemzetiséged?,21. Mi az anyanyelved?,22. Melyik településen élsz?,23. Milyen típusú iskola diákja vagy?,24. Hányadik osztályba jársz?,25. Milyen nyelven zajlik az oktatás az általad látogatott képzésen?,26. Iskola,27. Iskola régiója,28. Lakhely régiója
5/27/2022 17:27:00,inkább elfogadható,hasonlít,nem tudom megítélni,hasonlít,teljesen elfogadható,igen,teljesen elfogadható,inkább elfogadható,teljesen elfogadható,szeretem ezt használni,"családi beszélgetésben, baráti beszélgetésben, iskolában a szünetben, szlovákiai magyarokkal",szerintem elég jól,előny,"iskolában az órákon, magyarországi magyarokkal, levélben vagy fogalmazás írása közben, e-mailben, SMS-ben, chaten",szerintem elég jól,nem tudom,nem,,lány,magyar,magyar,Kőhídgyarmat,gimnázium,1.,magyar és szlovák nyelven is,"Gymnázium - Gimnázium, Adyho 7, Štúrovo",Nyugat-Szlovákia,Nyugat-Szlovákia
5/27/2022 17:29:22,teljesen elfogadható,hasonlít,teljesen elfogadható,hasonlít,teljesen elfogadható,igen,teljesen elfogadható,inkább elfogadható,inkább elfogadható,semleges,"családi beszélgetésben, baráti beszélgetésben, iskolában a szünetben",szerintem elég jól,nem tudom,"e-mailben, SMS-ben, chaten",talán egy kicsit,igen,nem,,fiú,magyar,magyar,Bátorkeszi,gimnázium,1.,magyar és szlovák nyelven is,"Gymnázium - Gimnázium, Adyho 7, Štúrovo",Nyugat-Szlovákia,Nyugat-Szlovákia
5/27/2022 17:31:52,inkább elfogadható,nem,inkább elfogadható,hasonlít,inkább elfogadható,nem,teljesen elfogadható,teljesen elfogadható,inkább elfogadható,inkább tetszik,"családi beszélgetésben, baráti beszélgetésben, iskolában a szünetben, szlovákiai magyarokkal",szerintem elég jól,előny,"iskolában az órákon, magyarországi magyarokkal, levélben vagy fogalmazás írása közben, e-mailben, SMS-ben, chaten",igen,igen,igen,Magyarországi magyar közegben a nyelvjárásomat kifogásolták.,lány,magyar,magyar,Párkány,gimnázium,1.,magyar és szlovák nyelven is,"Gymnázium - Gimnázium, Adyho 7, Štúrovo",Nyugat-Szlovákia,Nyugat-Szlovákia
5/27/2022 17:34:00,teljesen elfogadható,igen,teljesen elfogadható,igen,teljesen elfogadható,hasonlít,inkább elfogadható,nem tudom megítélni,nem tudom megítélni,semleges,"családi beszélgetésben, baráti beszélgetésben, iskolában a szünetben, e-mailben, SMS-ben, chaten",talán egy kicsit,nem tudom,"iskolában az órákon, magyarországi magyarokkal, levélben vagy fogalmazás írása közben",szerintem elég jól,igen,igen,"Szlovákiai magyar emberrel beszéltem, megjegyezte, hogy magyaros a kiejtésem.",fiú,magyar,magyar,Szalka,gimnázium,1.,magyar és szlovák nyelven is,"Gymnázium - Gimnázium, Adyho 7, Štúrovo",Nyugat-Szlovákia,Nyugat-Szlovákia
5/27/2022 17:35:36,teljesen elfogadható,nem,teljesen elfogadható,igen,teljesen elfogadható,igen,inkább elfogadható,inkább elfogadható,inkább elfogadható,inkább nem tetszik,"családi beszélgetésben, baráti beszélgetésben, iskolában a szünetben, iskolában az órákon, magyarországi magyarokkal, szlovákiai magyarokkal, levélben vagy fogalmazás írása közben, e-mailben, SMS-ben, chaten",szerintem elég jól,előny,"szlovákiai magyarokkal, semmilyen helyzetben",talán egy kicsit,igen,nem,,lány,magyar,magyar,Karva,gimnázium,1.,magyar és szlovák nyelven is,"Gymnázium - Gimnázium, Adyho 7, Štúrovo",Nyugat-Szlovákia,Nyugat-Szlovákia
5/27/2022 17:37:23,inkább elfogadható,hasonlít,teljesen elfogadható,hasonlít,nem tudom megítélni,hasonlít,teljesen elfogadható,teljesen elfogadható,teljesen elfogadható,szeretem ezt használni,"családi beszélgetésben, baráti beszélgetésben, iskolában a szünetben, iskolában az órákon, magyarországi magyarokkal, szlovákiai magyarokkal",talán egy kicsit,előny,"családi beszélgetésben, baráti beszélgetésben, levélben vagy fogalmazás írása közben, e-mailben, SMS-ben, chaten",szerintem elég jól,igen,nem,,lány,magyar,magyar,Párkány,gimnázium,1.,magyar és szlovák nyelven is,"Gymnázium - Gimnázium, Adyho 7, Štúrovo",Nyugat-Szlovákia,Nyugat-Szlovákia
5/27/2022 17:39:20,teljesen elfogadható,nem,teljesen elfogadható,nem tudom,teljesen elfogadható,nem tudom,teljesen elfogadható,inkább nem elfogadható,nem tudom megítélni,semleges,"családi beszélgetésben, baráti beszélgetésben, iskolában a szünetben, iskolában az órákon, magyarországi magyarokkal, szlovákiai magyarokkal, levélben vagy fogalmazás írása közben, e-mailben, SMS-ben, chaten",inkább nem,nem tudom,"családi beszélgetésben, baráti beszélgetésben, iskolában a szünetben, iskolában az órákon, magyarországi magyarokkal, szlovákiai magyarokkal, levélben vagy fogalmazás írása közben, e-mailben, SMS-ben, chaten",szerintem elég jól,igen,nem,,fiú,magyar,magyar,Párkány,gimnázium,1.,magyar nyelven,"Gymnázium - Gimnázium, Adyho 7, Štúrovo",Nyugat-Szlovákia,Nyugat-Szlovákia
5/27/2022 17:41:02,inkább elfogadható,hasonlít,teljesen elfogadható,igen,teljesen elfogadható,hasonlít,inkább elfogadható,nem tudom megítélni,inkább elfogadható,inkább tetszik,"családi beszélgetésben, baráti beszélgetésben, iskolában a szünetben, iskolában az órákon, magyarországi magyarokkal, szlovákiai magyarokkal",talán egy kicsit,előny,"családi beszélgetésben, baráti beszélgetésben, magyarországi magyarokkal, szlovákiai magyarokkal",talán egy kicsit,igen,nem,,lány,magyar,magyar,Párkány,gimnázium,1.,magyar és szlovák nyelven is,"Gymnázium - Gimnázium, Adyho 7, Štúrovo",Nyugat-Szlovákia,Nyugat-Szlovákia
5/27/2022 17:43:24,inkább elfogadható,nem,nem tudom megítélni,hasonlít,inkább elfogadható,igen,inkább elfogadható,inkább nem elfogadható,inkább nem elfogadható,inkább nem tetszik,semmilyen helyzetben,inkább nem,előny,"családi beszélgetésben, baráti beszélgetésben",talán egy kicsit,igen,nem,,lány,magyar,magyar,Párkány,gimnázium,1.,magyar és szlovák nyelven is,"Gymnázium - Gimnázium, Adyho 7, Štúrovo",Nyugat-Szlovákia,Nyugat-Szlovákia
5/27/2022 17:45:05,teljesen elfogadható,hasonlít,teljesen elfogadható,nem,teljesen elfogadható,nem,teljesen elfogadható,teljesen elfogadható,teljesen elfogadható,semleges,"családi beszélgetésben, baráti beszélgetésben",inkább nem,előny,"családi beszélgetésben, baráti beszélgetésben, iskolában a szünetben, iskolában az órákon, levélben vagy fogalmazás írása közben, e-mailben, SMS-ben, chaten",talán egy kicsit,igen,nem,,lány,magyar,magyar,Érsekújvár,gimnázium,1.,magyar nyelven,"Gymnázium - Gimnázium, Adyho 7, Štúrovo",Nyugat-Szlovákia,Nyugat-Szlovákia
